1 480
2 608
3 827
4 1386
5 1907
6 1982
7 2032
8 1919
9 2368
10 2495
11 2187
12 1824
13 1907
14 1898
15 2085
16 2625
17 2902
18 2865
19 1778
20 850
21 626
22 534
23 492
24 440
