2001 3
2002 94
2003 444
2004 350
2005 552
2006 596
2007 1538
2008 1371
2009 1697
2010 2037
2011 1482
2012 2730
2013 3390
2014 5324
2015 5707
2016 6094
2017 5376
2018 232
